name,hor_slit,vert_slit,w,l_r,a_e,matsw.comp1.core,b_mean,freq
unit,um,um,mm,mm,mm,,mT,kHz
group,Geometry Sweep,Geometry Sweep,Geometry Sweep,Geometry Sweep,Geometry Sweep,Material Sweep,Excitation Sweep,Frequency Sweep
77,0.0,0.0,20.0,0.0,10.0,2.0,50.0,1300.0
78,0.0,0.0,20.0,0.0,10.0,2.0,75.0,100.0
79,0.0,0.0,20.0,0.0,10.0,2.0,75.0,200.0
80,0.0,0.0,20.0,0.0,10.0,2.0,75.0,300.0
81,0.0,0.0,20.0,0.0,10.0,2.0,75.0,400.0
82,0.0,0.0,20.0,0.0,10.0,2.0,75.0,500.0
83,0.0,0.0,20.0,0.0,10.0,2.0,75.0,600.0
84,0.0,0.0,20.0,0.0,10.0,2.0,75.0,700.0
85,0.0,0.0,20.0,0.0,10.0,2.0,75.0,800.0
86,0.0,0.0,20.0,0.0,10.0,2.0,75.0,900.0
87,0.0,0.0,20.0,0.0,10.0,2.0,75.0,1000.0
88,0.0,0.0,20.0,0.0,10.0,2.0,75.0,1100.0
89,0.0,0.0,20.0,0.0,10.0,2.0,75.0,1200.0
90,0.0,0.0,20.0,0.0,10.0,2.0,75.0,1300.0
91,0.0,0.0,20.0,0.0,10.0,2.0,100.0,100.0
92,0.0,0.0,20.0,0.0,10.0,2.0,100.0,200.0
93,0.0,0.0,20.0,0.0,10.0,2.0,100.0,300.0
94,0.0,0.0,20.0,0.0,10.0,2.0,100.0,400.0
95,0.0,0.0,20.0,0.0,10.0,2.0,100.0,500.0
96,0.0,0.0,20.0,0.0,10.0,2.0,100.0,600.0
97,0.0,0.0,20.0,0.0,10.0,2.0,100.0,700.0
98,0.0,0.0,20.0,0.0,10.0,2.0,100.0,800.0
99,0.0,0.0,20.0,0.0,10.0,2.0,100.0,900.0
100,0.0,0.0,20.0,0.0,10.0,2.0,100.0,1000.0
101,0.0,0.0,20.0,0.0,10.0,2.0,100.0,1100.0
102,0.0,0.0,20.0,0.0,10.0,2.0,100.0,1200.0
103,0.0,0.0,20.0,0.0,10.0,2.0,100.0,1300.0
104,0.0,0.0,30.0,0.0,15.0,2.0,25.0,100.0
105,0.0,0.0,30.0,0.0,15.0,2.0,25.0,200.0
106,0.0,0.0,30.0,0.0,15.0,2.0,25.0,300.0
107,0.0,0.0,30.0,0.0,15.0,2.0,25.0,400.0
108,0.0,0.0,30.0,0.0,15.0,2.0,25.0,500.0
109,0.0,0.0,30.0,0.0,15.0,2.0,25.0,600.0
110,0.0,0.0,30.0,0.0,15.0,2.0,25.0,700.0
111,0.0,0.0,30.0,0.0,15.0,2.0,25.0,800.0
112,0.0,0.0,30.0,0.0,15.0,2.0,25.0,900.0
113,0.0,0.0,30.0,0.0,15.0,2.0,25.0,1000.0
114,0.0,0.0,30.0,0.0,15.0,2.0,25.0,1100.0
115,0.0,0.0,30.0,0.0,15.0,2.0,25.0,1200.0
116,0.0,0.0,30.0,0.0,15.0,2.0,25.0,1300.0
117,0.0,0.0,30.0,0.0,15.0,2.0,50.0,100.0
